id,collection_date,transductor_id,generated_energy_peak_time,generated_energy_off_peak_time,consumption_peak_time,consumption_off_peak_time,inductive_power_peak_time,inductive_power_off_peak_time,capacitive_power_peak_time,capacitive_power_off_peak_time,tax_id
1,2020-09-16 16:15:00,1,0.0,2236.93725585938,0.0,5788.03955078125,0.0,3774.3955078125,0.0,3343.38012695312,
2,2020-09-16 16:15:00,1,0.0,2236.93725585938,0.0,5788.03955078125,0.0,3774.3955078125,0.0,3343.38012695312,
3,2020-09-16 16:30:00,1,0.0,2251.91870117188,0.0,5816.7666015625,0.0,3787.61474609375,0.0,3350.85668945312,
4,2020-09-16 16:45:00,1,0.0,2245.71459960938,0.0,5757.48779296875,0.0,3746.92993164062,0.0,3330.22875976562,
5,2020-09-16 17:00:00,1,0.0,2212.77514648438,0.0,5719.126953125,0.0,3702.99145507812,0.0,3304.88793945312,
6,2020-09-16 17:15:00,1,0.0,2613.07080078125,0.0,6139.08984375,0.0,4416.4052734375,0.0,3565.06005859375,
7,2020-09-16 17:30:00,1,0.0,2218.91528320312,0.0,5735.27197265625,0.0,3710.53149414062,0.0,3302.0546875,
8,2020-09-16 17:45:00,1,0.0,2245.55395507812,0.0,5773.0283203125,0.0,3793.34545898438,0.0,3325.15600585938,
24,2020-09-16 17:45:00,1,0.0,2245.55395507812,0.0,5773.0283203125,0.0,3793.34545898438,0.0,3325.15600585938,
25,2020-09-16 18:00:00,1,276.492034912109,0.0,810.311279296875,0.0,600.455017089844,0.0,629.595642089844,0.0,
26,2020-09-16 18:15:00,1,199.744064331055,0.0,664.970092773438,0.0,481.953430175781,0.0,554.762756347656,0.0,
27,2020-09-16 18:30:00,1,180.095367431641,0.0,673.343139648438,0.0,487.638122558594,0.0,569.599426269531,0.0,
28,2020-09-16 18:45:00,1,1589.93029785156,0.0,4832.1005859375,0.0,2910.0078125,0.0,2982.93701171875,0.0,
33,2020-09-16 19:00:00,1,1718.11279296875,0.0,5078.015625,0.0,3112.98754882812,0.0,3119.80004882812,0.0,
34,2020-09-16 19:15:00,1,1730.47155761719,0.0,5061.13720703125,0.0,3058.599609375,0.0,3092.79150390625,0.0,
35,2020-09-16 19:30:00,1,1722.205078125,0.0,4962.65869140625,0.0,3028.02124023438,0.0,3080.9296875,0.0,
44,2020-09-16 19:45:00,1,1693.41821289062,0.0,4937.3388671875,0.0,2998.27709960938,0.0,3060.19775390625,0.0,
45,2020-09-16 20:00:00,1,1677.71826171875,0.0,4969.80029296875,0.0,3020.80834960938,0.0,3051.61303710938,0.0,
46,2020-09-16 20:15:00,1,1643.79479980469,0.0,4943.54052734375,0.0,3008.02783203125,0.0,2997.33715820312,0.0,
47,2020-09-16 20:30:00,1,1663.58715820312,0.0,4972.10498046875,0.0,3002.02221679688,0.0,2987.27392578125,0.0,
56,2020-09-16 20:45:00,1,2021.07141113281,0.0,5468.890625,0.0,3483.86376953125,0.0,3042.6767578125,0.0,
57,2020-09-16 21:00:00,1,0.0,1985.92248535156,0.0,5521.1318359375,0.0,3449.0703125,0.0,3137.4462890625,
58,2020-09-16 21:15:00,1,0.0,1979.07080078125,0.0,5403.529296875,0.0,3421.2421875,0.0,3064.22534179688,
59,2020-09-16 21:30:00,1,0.0,1944.26806640625,0.0,5373.1298828125,0.0,3396.935546875,0.0,3039.58178710938,
60,2020-09-16 21:45:00,1,0.0,2087.67504882812,0.0,5555.97021484375,0.0,3547.6015625,0.0,3080.970703125,
75,2020-09-16 22:00:00,1,0.0,2095.32543945312,0.0,5579.75,0.0,3567.02465820312,0.0,3091.27563476562,
